Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return
2018-05-23,10430.349609375,10430.349609375,10533.5498046875,10417.7998046875,10521.099609375,290900,-1.0093348388598211,-0.010144631600820039
2018-05-24,10513.849609375,10513.849609375,10535.150390625,10419.7998046875,10464.849609375,297600,0.8005484296034426,0.007973610404251362
2018-05-25,10605.150390625,10605.150390625,10628.0498046875,10524.0,10533.0498046875,260800,0.8683858400313049,0.008646370571623485
2018-05-28,10688.650390625,10688.650390625,10709.7998046875,10640.5498046875,10648.349609375,232600,0.7873532851907061,0.00784269833741265
2018-05-29,10633.2998046875,10633.2998046875,10717.25,10616.099609375,10689.400390625,225800,-0.5178444790938985,-0.005191899405584954
2018-05-30,10614.349609375,10614.349609375,10648.7001953125,10558.4501953125,10579.0,238700,-0.17821556488181178,-0.0017837455774774606
2018-05-31,10736.150390625,10736.150390625,10763.7998046875,10620.400390625,10670.099609375,610300,1.1475105468772284,0.011409765823805856
2018-06-01,10696.2001953125,10696.2001953125,10764.75,10681.5,10738.4501953125,220600,-0.37210912532843476,-0.003728031736138272
2018-06-04,10628.5,10628.5,10770.2998046875,10618.349609375,10765.9501953125,203800,-0.6329368754912523,-0.00634948413268003
2018-06-05,10593.150390625,10593.150390625,10633.150390625,10550.900390625,10630.7001953125,167700,-0.3325926459519235,-0.003331469647161854
2018-06-06,10684.650390625,10684.650390625,10698.349609375,10587.5,10603.4501953125,189900,0.86376570355291,0.00860056590990892
2018-06-07,10768.349609375,10768.349609375,10818.0,10722.599609375,10722.599609375,220900,0.7833594520176401,0.007803071219768874
2018-06-08,10767.650390625,10767.650390625,10779.4501953125,10709.0498046875,10736.400390625,209400,-0.006493276828523076,-6.49348765086917e-05
2018-06-11,10786.9501953125,10786.9501953125,10850.5498046875,10777.0498046875,10781.849609375,211400,0.17923877528847054,0.0017907833428202438
2018-06-12,10842.849609375,10842.849609375,10856.5498046875,10789.400390625,10816.150390625,198300,0.5182133323169635,0.005168752278609608
2018-06-13,10856.7001953125,10856.7001953125,10893.25,10842.650390625,10887.5,213400,0.12773935299743577,0.001276578356983104
2018-06-14,10808.0498046875,10808.0498046875,10833.7001953125,10773.5498046875,10832.900390625,184300,-0.44811397339686865,-0.004491210136474933
2018-06-15,10817.7001953125,10817.7001953125,10834.0,10755.400390625,10808.650390625,305400,0.0892889170515776,0.0008924907821071907
2018-06-18,10799.849609375,10799.849609375,10830.2001953125,10787.349609375,10830.2001953125,196600,-0.165012762557748,-0.0016514905857463397
2018-06-19,10710.4501953125,10710.4501953125,10789.4501953125,10701.2001953125,10789.4501953125,224500,-0.8277838793689818,-0.00831229035595547
2018-06-20,10772.0498046875,10772.0498046875,10781.7998046875,10724.0498046875,10734.650390625,193500,0.5751355755517995,0.005734879851344152
2018-06-21,10741.099609375,10741.099609375,10809.599609375,10725.900390625,10808.4501953125,223600,-0.28731945983977436,-0.002877330145384961
2018-06-22,10821.849609375,10821.849609375,10837.0,10710.4501953125,10742.7001953125,229800,0.7517852262492797,0.00748973404895337
2018-06-25,10762.4501953125,10762.4501953125,10831.0498046875,10753.0498046875,10822.900390625,229600,-0.5488841206131911,-0.0055039602444048865
2018-06-26,10769.150390625,10769.150390625,10805.25,10732.5498046875,10742.7001953125,220000,0.06225529680423669,0.0006223592623338975
2018-06-27,10671.400390625,10671.400390625,10785.5,10652.400390625,10785.5,246000,-0.9076853461448153,-0.009118299083682797
2018-06-28,10589.099609375,10589.099609375,10674.2001953125,10557.7001953125,10660.7998046875,352300,-0.7712275637441368,-0.007742169031781291
2018-06-29,10714.2998046875,10714.2998046875,10723.0498046875,10612.349609375,10612.849609375,242800,1.1823497741172861,0.011754146307527904
2018-07-02,10657.2998046875,10657.2998046875,10736.150390625,10604.650390625,10732.349609375,295400,-0.5319993003655044,-0.005334194556937323
2018-07-03,10699.900390625,10699.900390625,10713.2998046875,10630.25,10668.599609375,202100,0.39973151471972557,0.003989347109783859
2018-07-04,10769.900390625,10769.900390625,10777.150390625,10677.75,10715.0,173900,0.6542116977213297,0.0065208102070441875
2018-07-05,10749.75,10749.75,10786.0498046875,10726.25,10786.0498046875,220500,-0.18709913642785958,-0.0018727438548922296
2018-07-06,10772.650390625,10772.650390625,10816.349609375,10735.0498046875,10744.150390625,0,0.21303184376380013,0.002128052526818883
2018-07-09,10852.900390625,10852.900390625,10860.349609375,10807.150390625,10838.2998046875,183600,0.7449420253147654,0.007421810355794803
2018-07-10,10947.25,10947.25,10956.900390625,10876.650390625,10902.75,197000,0.8693492612951825,0.008655921796766377
2018-07-11,10948.2998046875,10948.2998046875,10976.650390625,10923.0,10956.400390625,222300,0.009589665783638068,9.589206004582807e-05
2018-07-12,11023.2001953125,11023.2001953125,11078.2998046875,10999.650390625,11006.9501953125,248300,0.6841280560560881,0.006817985187144955
2018-07-13,11018.900390625,11018.900390625,11071.349609375,10999.75,11056.900390625,0,-0.03900686380828855,-0.00039014473464332456
2018-07-16,10936.849609375,10936.849609375,11019.5,10926.25,11018.9501953125,210500,-0.744636745421623,-0.007474230051277428
2018-07-17,11008.0498046875,11008.0498046875,11018.5,10925.599609375,10939.650390625,210600,0.6510119262449043,0.006489019959189796
2018-07-18,10980.4501953125,10980.4501953125,11076.2001953125,10956.2998046875,11060.2001953125,225500,-0.2507220612614547,-0.0025103689537061304
2018-07-19,10957.099609375,10957.099609375,11006.5,10935.4501953125,10999.5,215400,-0.21265599790679657,-0.00212882431847883
2018-07-20,11010.2001953125,11010.2001953125,11030.25,10946.2001953125,10963.5,187300,0.484622644956767,0.004834521296150269
2018-07-23,11084.75,11084.75,11093.400390625,11010.9501953125,11019.849609375,229100,0.6770976309698584,0.0067481562013002455
2018-07-24,11134.2998046875,11134.2998046875,11143.400390625,11092.5,11109.0,205800,0.447008770495505,0.004460126536742217
2018-07-25,11132.0,11132.0,11157.150390625,11113.25,11148.400390625,205900,-0.02065513528324292,-0.00020657268750096133
2018-07-26,11167.2998046875,11167.2998046875,11185.849609375,11125.7001953125,11132.9501953125,365400,0.3171020902578148,0.0031660038191820943
2018-07-27,11278.349609375,11278.349609375,11283.400390625,11210.25,11232.75,314600,0.9944194803553685,0.00989507665693427
2018-07-30,11319.5498046875,11319.5498046875,11328.099609375,11261.4501953125,11296.650390625,278800,0.3653034064332594,0.0036463779405013436
2018-07-31,11356.5,11356.5,11366.0,11267.75,11311.0498046875,256500,0.3264281349528497,0.003258965149071806
2018-08-01,11346.2001953125,11346.2001953125,11390.5498046875,11313.5498046875,11359.7998046875,269700,-0.09069523785937283,-0.0009073639087465626
2018-08-02,11244.7001953125,11244.7001953125,11328.900390625,11234.9501953125,11328.900390625,210000,-0.8945726168478219,-0.008985979419681003
2018-08-03,11360.7998046875,11360.7998046875,11368.0,11294.5498046875,11297.7998046875,218300,1.0324829240302646,0.010271892255968624
2018-08-06,11387.099609375,11387.099609375,11427.650390625,11370.599609375,11401.5,203700,0.23149606664707445,0.0023122852731850252
2018-08-07,11389.4501953125,11389.4501953125,11428.9501953125,11359.7001953125,11423.150390625,226400,0.020642534254866618,0.00020640403976921495
2018-08-08,11450.0,11450.0,11459.9501953125,11379.2998046875,11412.5,210500,0.5316306199962151,0.005302224530419492
2018-08-09,11470.7001953125,11470.7001953125,11495.2001953125,11454.099609375,11493.25,302200,0.1807877319869089,0.0018062450766348273
2018-08-10,11429.5,11429.5,11478.75,11419.650390625,11474.9501953125,0,-0.3591776841080363,-0.003598242758917501
2018-08-13,11355.75,11355.75,11406.2998046875,11340.2998046875,11369.599609375,246900,-0.6452600726191027,-0.006473508743511776
2018-08-14,11435.099609375,11435.099609375,11452.4501953125,11370.7998046875,11381.7001953125,232600,0.6987615029830696,0.00696331478277028
2018-08-16,11385.0498046875,11385.0498046875,11449.849609375,11366.25,11397.150390625,290600,-0.4376857779749166,-0.004386464262815843
2018-08-17,11470.75,11470.75,11486.4501953125,11431.7998046875,11437.150390625,234700,0.7527432622843166,0.007499242877784467
2018-08-20,11551.75,11551.75,11565.2998046875,11499.650390625,11502.099609375,232600,0.7061438877143944,0.007036623669863275
2018-08-21,11570.900390625,11570.900390625,11581.75,11539.599609375,11576.2001953125,224200,0.165779129785526,0.001656418678663017
2018-08-23,11582.75,11582.75,11620.7001953125,11546.7001953125,11620.7001953125,248500,0.10240870610727093,0.001023563041648874
2018-08-24,11557.099609375,11557.099609375,11604.599609375,11532.0,11566.599609375,218800,-0.22145337355118366,-0.0022169894415104054
2018-08-27,11691.9501953125,11691.9501953125,11700.9501953125,11595.599609375,11605.849609375,199500,1.1668203138797129,0.011600654595540067
2018-08-28,11738.5,11738.5,11760.2001953125,11710.5,11731.9501953125,241900,0.39813550271674547,0.003973450407027797
2018-08-29,11691.900390625,11691.900390625,11753.2001953125,11678.849609375,11744.9501953125,251600,-0.39698095476423667,-0.003977710157774837
2018-08-30,11676.7998046875,11676.7998046875,11698.7998046875,11639.7001953125,11694.75,313800,-0.12915424723947133,-0.0012923772322029556
2018-08-31,11680.5,11680.5,11727.650390625,11640.099609375,11675.849609375,346500,0.031688436681198695,0.0003168341695652239
2018-09-03,11582.349609375,11582.349609375,11751.7998046875,11567.400390625,11751.7998046875,234400,-0.840292715423141,-0.008438430776075216
2018-09-04,11520.2998046875,11520.2998046875,11602.5498046875,11496.849609375,11598.75,254800,-0.535727264157837,-0.005371674285373425
